repo,metadata
github.com/0-0-1/drc,num_dependents_deps.dev:0
github.com/0-0-1/holds,num_dependents_deps.dev:0
github.com/0-Auth/0Auth,
github.com/0-hun/ajax,num_dependents_deps.dev:0
github.com/0-u-0/nvidia-gpu-monitor,num_dependents_deps.dev:0
github.com/0-vortex/open-sauced-semantic-config-test,num_dependents_deps.dev:0
github.com/0-vortex/release,
github.com/0/Boltzmannizer,
github.com/0/mckenzie,
github.com/00-Evan/shattered-pixel-dungeon,criticality_score:0.422350
github.com/00-matt/addressutil,num_dependents_deps.dev:0
github.com/00-matt/monerocore,num_dependents_deps.dev:0
github.com/00-matt/monerorpc,num_dependents_deps.dev:0
github.com/00-matt/node-fist,num_dependents_deps.dev:0
github.com/00-matt/randomx4j,num_dependents_deps.dev:0
github.com/00000SZ/homebridge-http-environmentals,
github.com/00000SZ/homebridge-http-temperature-humidity,num_dependents_deps.dev:0
github.com/00001H/GameGui,
github.com/0000marcell/figma2css,num_dependents_deps.dev:0
github.com/0000marcell/figma2react,num_dependents_deps.dev:0
github.com/0000marcell/vtex-deploy,num_dependents_deps.dev:0
github.com/000407/singlish.js,num_dependents_deps.dev:0
github.com/000407/transpose.js,num_dependents_deps.dev:0
github.com/000haitham000/evolib,num_dependents_deps.dev:0
github.com/000haitham000/kktpm-calculator,num_dependents_deps.dev:0
github.com/000haitham000/tx2ex,num_dependents_deps.dev:0
github.com/000mrluigi000/library,num_dependents_deps.dev:0
github.com/001000001/react-native-video-streaming,num_dependents_deps.dev:0
github.com/001ayushdabral/qlikconnect,
